www.barcelona.com,football,messi,xavi,iniesta,
www.cs.com,programming,computer,python,machine learning,
www.aucmajors.com,engineering,computer ,business,political science,
www.AI.com,machine learning,deep learning,artificial intelligence,data science,
www.calculus.com,differentiation,integration,math,limits,
www.physics.com,light,mechanics,electricity,magnetism,
www.sports.com,football,messi,basketball,lebron james,
www.basketball.com,basketball,lebron james,NBA,
www.csecourses.com,course,computer,major,minor,
www.core.com,course,major,minor,
www.rhet.com,essays,English,themes,
www.engineering.com,majors,specifications,Mechanical ,Construction,
www.universites.com,AUC,GUC,Cairo university,
www.singers.com,Amr Diab,Tamer Hosny,katty berry,
www.movies.com,TV,La Casa de Papel,Breaking Bad,
www.egypublicfigures.com,Amr Diab,Mohamed Salah,Ahmed Helmy,Public figures,
www.datastructures.com,data structures,arrays,vectors,linked lists,
www.analysis.com,algorithms,data structures,time complexity,sorting algortihms,
www.digitaldesign.com,hardware,verilog,circuits,
www.electronics.com,hardware,circuits,electricity,
www.pointers.com,dynamic arrays,reference,dereference,
www.dynamicprogramming.com,dynamic arrays,pointers,memory,
www.companies.com,google,microsoft,IBM,
www.businesses.com,google,meta,dell,
www.startups.com,finance,capital,business,
www.business.com,marketing,finance,accounting,
